publisher,name,version,copyright,dateAdded,estimatedReleaseDate,license,distributed
"Autodesk Inc.",@dynamods/splash-screen,"1.0.8","Copyright (c) 2022 DynamoDS","","",MIT,false
"The Bootstrap Authors",bootstrap,"5.2.2","Copyright (c) 2011-2022 Twitter, Inc.. Copyright (c) 2011-2022 The Bootstrap Authors","","",MIT,false
"Stephen J. Collings",react-bootstrap,"2.5.0","Copyright (c) 2014-present Stephen J. Collings, Matthew Honnibal, Pieter Vanderwerff","","",MIT,false
"",react-dom,"18.2.0","Copyright (c) Facebook, Inc. and its affiliates.","","",MIT,false
"",react-scripts,"5.0.1","Copyright (c) 2013-present, Facebook, Inc.","","",MIT,false
"",react,"18.2.0","Copyright (c) Facebook, Inc. and its affiliates.","","",MIT,false
